"","direction","MS","RA","SLE","UC","CD","psoriasis"
"MYL9","DOWN",0.00152577946326562,0,0,0.0757077467746936,0.00459718011294424,0
"IFI6","DOWN",0.00820558979351751,0,0.0182942028068927,0.0166847704437196,0.00356248824664386,0
"GNAZ","DOWN",0,0,0,0.00430816222130826,0,0
"CLTB","DOWN",0.00180943366581447,0,0,0,0,0
"TIMM13","DOWN",0,0,0,0,0,0
"ATG101","DOWN",0.00221747912810821,0,0,0,0,0
"OSCAR","DOWN",0,0,0,0.0138857227165344,0.0318351049092064,0
"TWF2","DOWN",0,0,0,0,0.155831015642487,0
"SMARCD2","DOWN",0,0,0,0,0,0
"IKZF5","UP",0,0,0,0,0,0
"RPS15","DOWN",0,0,0,0,0,0
"TMEM101","DOWN",0,0,0,0,0,0
"SNCA","DOWN",0.0283386884021076,0.0957248545927976,0.0811484433709785,0.103530065962612,0.0155158078631013,0.0957248545927976
"HEXIM2","DOWN",0,0,0,0,0,0
"ASCL2","DOWN",0,0,0,0,0,0
"JOSD2","DOWN",0.00345085945768091,0,0,0.0162615136061269,0,0
"COPS9","DOWN",0,0,0,0,0,0
"SLX9","DOWN",0,0,0,0,0,0
"HMG20B","DOWN",0,0,0,0,0,0
"NDUFB7","DOWN",0.523241257233453,0.0992732554111407,0,0.0739159709369404,0.00803001545755749,0.0992732554111407
"CEP192","UP",0,0.032409076093941,0,0,0.0198795237086494,0.032409076093941
"TASOR2","UP",0,0.0244603350496724,0,0,0.051257311164986,0.0244603350496724
"LAMTOR4","DOWN",0,0.0327103919796636,0,0,0.00739590852546147,0.0327103919796636
"CLK2","UP",0.440756309461813,0,0,0.0053878480303217,0,0
"H2AJ","DOWN",0,0,0,0,0,0
"PAGR1","DOWN",0,0.00369579854684702,0,0,0,0.00369579854684702
"C12orf57","DOWN",0.00122878155140722,0,0,0,0,0
"CD99","DOWN",0.00739159709369404,0,0,0.0347918368757348,0.00221747912810821,0
"ANAPC11","DOWN",0,0,0,0,0,0
"CST3","DOWN",0.0208666345366064,0,0.00147831941873881,0.0101326476826056,0.00702201723900934,0
"NOP53","DOWN",0,0,0,0,0,0
"GALK1","DOWN",0.00212907479306057,0,0,0,0,0
"CLK4","UP",0,0,0,0,0,0
"PTMS","DOWN",0,0,0,0,0,0
"RPL27A","DOWN",0,0,0,0,0,0
"HLA-C","UP",0.0237990702131494,0.100899957285493,0.0648806523965466,0.0380912517698176,0.0135735842919485,0.100899957285493
"NDUFAF8","DOWN",0,0,0,0,0,0
