"","direction","MS","RA","SLE","UC","CD","psoriasis"
"CCDC28B","DOWN",0,0,0,0,0,0
"RPS19BP1","DOWN",0,0,0,0,0,0
"PKD1P4","UP",0,0,0,0,0,0
"S100A4","DOWN",0.355095188085658,0.00520742567843056,0,0.0193805749320971,0.0107050858130839,0.00520742567843056
"MBD5","UP",0,0,0,0,0,0
"MRPL12","DOWN",0,0,0,0,0.0124400579086871,0
"SMCHD1","UP",0.00270752673650734,0,0,0.176464968721557,0,0
"ZZEF1","UP",0,0,0,0,0,0
"SMG1","UP",0.00674212862428039,0,0,0.00601737600069142,0.00543343983028959,0
"CD84","UP",0,0.00534936020786976,0,0.00221753181997659,0.00197390630218441,0.00534936020786976
"CTTN","DOWN",0.00665243738432463,0,0,0.0184789927342351,0,0
"NDUFS7","DOWN",0.114464052007878,0.0988112805927849,0,0.0739159709369404,0,0.0988112805927849
"PLAAT4","DOWN",0.0121961352045952,0.00612239708378444,0,0.00797850488222176,0.0215406804899759,0.00612239708378444
"ZNF587","UP",0,0,0,0,0,0
"LMNB2","DOWN",0,0,0,0.00739159709369404,0,0
"LRCH3","UP",0,0,0,0,0,0
"COX6A1","DOWN",0.00181463755328756,0,0,0,0,0
"GCHFR","DOWN",0.00422963611472492,0.00665243738432463,0,0.00940375408031074,0.0100108916527011,0.00665243738432463
"TARBP1","UP",0,0,0,0,0,0
"BLTP1","UP",0,0.0914081220119733,0.319259979511776,0.103216055897831,0.316038778100022,0.0914081220119733
"NDUFA11","DOWN",0.2529196018299,0.0988112805927849,0,0.0749323155373233,0,0.0988112805927849
"CAPN3","UP",0,0,0,0,0,0
"PRRC2C","UP",0,0,0,0,0,0
"ZNF785","UP",0.132077880907612,0,0,0,0,0
"ZNF892","UP",0,0,0,0,0,0
"PMM1","DOWN",0,0,0,0,0,0
"MRTFB","UP",0,0,0,0.209923416662638,0,0
"GFI1B","DOWN",0.28733018547607,0,0,0.0130387772732763,0,0
"ALDH16A1","DOWN",0,0,0,0,0,0
"MRPL41","DOWN",0,0,0,0,0.00893738404412368,0
"PRDM15","UP",0,0,0,0,0,0
"TMEM208","DOWN",0,0,0,0,0,0
"NOTCH2NLC","UP",0,0,0,0,0,0
"DDAH2","DOWN",0.00237301310944208,0.00355551739883768,0,0.0273283770325188,0,0.00355551739883768
"C1orf35","DOWN",0,0,0,0,0,0
"ZNF581","DOWN",0,0,0,0,0,0
"NDUFS8","DOWN",0.490590831357847,0.0988112805927849,0,0.0739159709369404,0,0.0988112805927849
"BMP6","DOWN",0,0.00993945400715741,0,0.00960907622180225,0,0.00993945400715741
"TMEM134","DOWN",0,0,0,0,0,0
"ZNF354B","UP",0,0,0,0.00147831941873881,0,0
"TMEM256","DOWN",0.00145729209275939,0,0,0,0,0
"MRFAP1","DOWN",0,0,0,0,0,0
"H2AX","DOWN",0.0334675090631147,0.00406537840153172,0,0.0171202705530208,0,0.00406537840153172
