"","GSM2577895","GSM2577932","GSM2577976","GSM2577988","GSM2578061","GSM2578072","GSM2578181","GSM2578228","GSM2578242","GSM2578442","GSM2578450","GSM2578593","GSM2578614","GSM2578635","GSM2578710","GSM2578752"
"A1BG",5.093235732,5.090187005,5.550638341,5.187017084,5.029575525,4.962323429,5.447728822,4.933197842,5.875065248,4.747908263,4.647782103,5.443432004,5.188758606,5.453432861,5.15142618,4.766831614
"A26C3",5.023224229,4.635590095,4.942684725,4.545217711,4.409146264,4.419800137,4.647420817,4.732945171,4.953264719,4.679222404,4.494824328,4.774804065,5.156771758,4.601485378,4.805824494,4.750726696
"A2LD1",6.669240006,6.576634029,7.201569764,6.514270267,6.277418152,6.497119632,6.328150537,6.007325094,6.339586863,5.68105012,6.277970231,6.162984086,6.896498552,7.103578462,6.300167448,6.225393888
"A4GNT",4.479520097,4.505708536,4.600869806,5.064963164,4.724880879,4.935770752,4.726463956,4.892539403,4.766651905,4.727964082,5.925220788,4.615720896,5.082781681,4.796453256,4.634991156,4.73882056
"AAAS",5.481703293,5.712541302,5.927843638,5.854972548,5.771451361,6.052403819,5.807821067,5.687643725,5.875309902,4.995125755,5.063419129,4.888303304,5.687643725,5.503639125,6.043495025,5.523325618
"AACS",5.435769792,5.645727925,5.482185913,5.010389884,5.080276089,5.836759527,5.278570642,5.670848592,5.387220384,4.910352168,5.421540959,5.533702776,5.600657518,5.638180802,6.037371344,5.177155988
"AACSL",5.064234685,5.112773428,5.078072708,5.056627082,4.624823335,5.158594707,5.593043815,5.391035267,4.598310785,5.124858489,4.83456016,4.946750988,5.713991777,5.718551107,4.88454705,4.9460069
"AADACL1",7.558916871,7.653650203,7.268208162,6.96566201,7.30187777,7.435277756,7.663778392,6.750033787,7.096202382,7.412165859,7.237110733,7.011321261,7.071259512,6.930749932,6.995948935,6.837828304
"AADAT",5.062401904,5.38329911,4.997944087,4.627174397,5.390047477,4.704436283,4.594316674,5.034736652,4.602984973,4.642659674,4.699031582,5.038561419,5.068195301,4.61409682,4.580818023,5.209471546
"AAGAB",8.181912941,8.15649028,7.647795309,8.091688163,7.785544419,8.396069952,7.944667012,8.267228261,8.103071812,8.1368515,8.266823183,8.277344489,8.408113227,8.479190593,8.202121495,8.015422894
"AAK1",5.449444463,6.612138084,7.047391421,6.496207217,7.232667958,6.351365289,5.878332025,7.574409282,6.022404194,5.087548068,7.403739754,7.113079301,7.550622919,7.468430147,5.480732779,7.471340801
"AAMP",6.920244473,6.692766174,7.028637092,6.607801254,7.047740001,7.265827317,7.476016762,6.151701525,7.104889838,6.896179282,6.671130581,6.968683036,6.893596882,6.499233721,6.68775126,6.578477515
"AARS",9.786086221,9.507489263,10.22508612,10.29731577,10.28279959,10.20705697,9.355932934,10.18325286,9.671360763,9.668886193,9.69515222,10.04488089,9.842735954,10.15831535,9.823885042,9.926451503
"AARS2",6.626955165,6.787153661,7.266883013,6.950987008,7.12327047,6.497438898,6.392860642,7.302049018,6.667073989,6.530513757,7.075719614,6.994606337,6.858128373,7.305244519,6.947688806,7.357496231
"AARSD1",7.675886742,7.006225778,8.245178058,7.471686396,7.405219244,7.469160147,7.646309791,8.089353741,7.60099825,7.672525856,7.516917367,7.499788067,7.93205993,7.889439938,7.651140687,7.429302002
"AASDH",6.665800961,6.584019179,7.135890433,7.236853638,7.455835146,7.055432164,6.934412144,7.600603125,6.901763972,7.027977731,6.812742247,6.886435397,7.123959341,6.720884805,7.132106424,7.264814454
"AASDHPPT",7.310918898,6.989877759,7.627939041,7.742240101,7.890218191,7.058650233,6.837876219,7.42606103,6.764248509,7.321942941,7.191540853,7.3827622,6.938731622,7.177370494,7.026654746,7.220103469
"AASS",4.707971049,4.885491312,4.831326518,4.574438369,4.972110281,4.878061603,4.825632144,5.131505042,4.803365603,4.905650055,4.906576729,4.923912623,4.770883897,4.868721895,5.090660086,4.74757781
"AATF",8.847096312,8.729141078,8.729581529,8.620056174,8.065856411,8.813128585,8.437596704,8.951070242,8.424263812,8.893950843,8.344974932,8.354037978,8.613053473,8.718354075,8.85503946,8.343751186
"AATK",5.669017948,5.439695979,6.035066815,5.451413612,5.833732524,5.635839559,5.914123989,5.795761934,6.047841297,5.752656293,5.642772591,5.849221429,5.721949156,5.372578021,5.788913034,5.787502958
"ABAT",5.200781913,6.070084053,5.285481008,5.343024469,5.636030168,5.833164031,5.925212973,5.778195084,4.675699384,5.823652211,5.276495534,5.650371607,5.178947575,4.934133373,5.826987534,5.744723756
"ABCA1",9.146821267,8.917857542,8.951547331,8.29468992,9.033134944,9.241807906,9.105937919,7.855728419,9.38424569,8.54954001,9.106952076,8.991306696,8.347839978,8.705453906,9.191653252,9.07209899
"ABCA10",4.830422047,4.712989605,4.517566432,4.710536316,4.615153625,4.576635281,4.589129852,4.652096686,4.510385632,4.996739036,4.642631197,4.709178343,4.796558292,4.601396919,5.055252974,4.707369268
"ABCA11",4.415633019,5.187306517,5.133319947,4.759590464,4.622902026,4.904711461,4.682006748,4.930087211,5.131518056,4.574063203,4.534901228,4.534678154,4.465074951,4.63458118,4.697701049,4.740846199
"ABCA2",6.065815823,5.799144129,5.50279882,5.489011858,5.432902257,6.215783451,5.910362913,6.347915029,6.496822118,5.293328951,6.118284268,5.656436287,6.030024881,5.713888663,5.270467042,5.970612442
"ABCA3",5.530462798,5.407738494,5.858422776,5.30829591,5.301202877,5.47430797,5.341426715,5.466073101,5.194072098,4.999430883,5.580549134,5.277293588,5.69677895,5.437303925,5.938243563,5.558011967
"ABCA5",4.605534587,4.672621566,4.516888288,4.527938359,4.734353002,4.758857281,4.35613972,4.830094088,4.605368277,4.772583648,4.851969663,4.611654396,4.886034392,4.7679839,4.576356892,4.828979942
"ABCA7",8.747035929,8.406013069,8.668573149,8.548227818,7.046049645,8.408113227,7.696493849,8.476285237,8.191005682,8.649658603,8.079993964,8.534562743,8.322874905,8.888748674,9.097991271,8.72245948
"ABCA8",4.405926431,4.645025034,5.216983214,5.348095126,5.009563982,4.580752917,5.330179698,5.360822002,5.005650463,4.972565722,4.959010663,4.80606136,4.924198735,4.508915372,4.896882453,4.421245052
"ABCA9",4.785779741,5.013403357,4.891202125,4.893381362,5.033721065,4.684322168,4.568796602,4.754937462,4.803285301,4.580818023,4.471900777,4.871568511,4.97097012,5.075655823,4.902929276,4.6025499
"ABCB1",5.78212573,5.712101703,6.023458834,6.113630205,5.907772223,6.107776574,5.235010137,7.010262598,5.828006516,5.062482165,6.295986244,6.296760271,6.211107043,6.721440807,5.436205442,6.183335273
"ABCB10",8.019983471,7.834555113,7.658132522,8.36379764,8.053676928,7.985677393,8.271691965,7.983378299,8.081170909,8.333912103,8.387697853,8.370341767,7.925255439,7.785544419,7.941990043,8.244370887
"ABCB4",4.795762781,5.771894015,4.687312809,4.828543549,4.98541836,5.230384683,4.538798345,4.88138646,4.896337931,4.798888768,4.680218865,5.17590527,5.231116785,5.665668239,5.488842504,4.844539662
"ABCB6",5.498959184,5.117740366,5.893832521,6.025957646,5.586118567,5.778619045,5.130747539,5.941137123,5.654080699,6.001176055,5.570103606,5.325180725,4.916434563,5.892882774,5.518795068,5.824083319
"ABCB7",8.182301292,7.824388629,7.912619369,8.31139622,8.121166198,7.669172348,7.943131081,7.542648,7.185007756,7.588637149,8.029322525,8.313864104,7.752640756,8.004541984,7.828908127,7.707296404
"ABCB8",5.035209051,5.813124761,4.641441412,4.608207333,4.884525237,5.456200665,4.585519172,5.294415686,4.775296876,4.974625847,5.816897559,4.424309373,4.701083223,5.370578438,5.238290286,4.617830128
"ABCB9",5.569564467,6.109397251,5.621788801,5.704287509,6.196837983,6.145500752,5.230750601,5.771224166,5.746384089,5.803645722,6.419403842,7.446697784,6.332973091,6.280448957,6.798236855,7.462032147
"ABCC1",6.119886861,5.924260547,6.010049046,5.104688542,5.392469811,5.669058071,5.252269778,4.909994904,5.200392759,4.841825306,5.509781358,5.574430605,5.256059802,5.403673932,4.847112948,5.414169176
"ABCC10",6.908670985,5.985432815,6.752575004,6.031803924,6.026708068,6.731606122,6.309483561,6.901431765,6.124667093,6.805011998,6.400410775,6.359704605,6.246408271,6.426091333,6.383598324,6.779751751
"ABCC11",4.859578382,4.507709471,4.725770339,5.087046516,4.481948011,4.899364839,4.604685207,4.708878229,4.536058313,5.199009329,5.2499519,4.50055937,4.511153877,5.28855948,4.562165515,4.733721923
"ABCC13",4.673406204,4.69617091,4.984520217,4.70992335,5.297277455,5.058202892,4.792979876,4.918760031,4.687176748,4.661075105,4.80878667,4.818374245,4.71327924,4.912376139,4.637861304,4.612141812
"ABCC2",4.648235341,4.956103935,4.519412881,4.511660159,4.688548966,4.527562606,4.504897923,4.602829398,4.611702596,4.924767542,4.898717193,4.878551433,4.526100125,4.657004057,4.523176406,4.753820532
"ABCC3",7.037181341,6.202870405,6.431358093,6.844489161,6.86885147,6.331950562,6.571897252,6.423542937,6.289331638,6.722464449,6.816047872,6.315272728,6.694256307,6.511184069,7.085511803,7.074816303
"ABCC4",6.431689271,6.345176385,5.858352241,6.526296971,7.300866801,5.948394367,6.253512431,6.351360869,6.126053891,6.565198783,7.507979083,5.942556691,5.789923227,6.591197796,6.319344179,6.52808506
"ABCC5",7.693083693,7.291866054,7.301568916,7.544791808,7.499743929,7.506893932,7.136034294,7.413815072,7.407901691,7.406982294,7.508870275,7.284592317,7.593919576,7.791719094,7.526121748,7.437001029
"ABCC6",4.817247941,5.15917703,4.748770063,4.667154475,4.872038937,5.305654488,4.983409066,4.824369906,4.786757359,4.996401363,4.87986177,5.41246298,4.76162058,5.09282816,4.689780601,4.800610084
"ABCC6P2",5.79673162,5.074592475,5.218221545,5.055331522,5.564940324,5.536271657,5.263963792,4.676332944,5.095977393,5.368965184,4.988104212,5.961539689,5.262377426,5.114578788,5.141509811,4.949202724
"ABCC9",4.817678738,4.941016758,5.029509893,4.950492541,4.870085312,4.81022836,4.838528009,4.646656102,5.413439695,4.879746475,4.932749618,5.598828545,4.925071952,4.876747689,4.991860655,4.708419011
"ABCD1",6.267027357,5.852453423,6.175808387,6.215783451,5.401226958,6.566662003,5.891266803,5.899933061,6.082085199,6.374380279,5.807587341,5.566353766,5.650205045,5.364747043,5.71667713,5.828150166
"ABCD3",6.485457314,6.596858499,6.647628948,6.616457297,6.797018876,6.190993104,6.677408018,6.639588884,6.416724791,6.239986037,6.212764064,6.396951627,6.427552729,6.349927705,6.104118994,5.88748483
"ABCD4",4.917949666,4.750575995,4.684116518,4.721335761,4.87280813,4.646918702,4.664931603,4.65337861,4.775417803,4.966466494,4.643176344,4.615785062,5.136199901,4.930981063,5.168395921,4.824387532
"ABCE1",7.642431646,7.69006428,7.490524341,8.287066518,8.233237402,7.918711313,7.820106718,8.663354298,7.898620339,8.122248962,8.084640482,7.930293412,8.070009715,8.04428802,8.015350447,7.80345401
"ABCF1",8.951503061,8.778106433,9.067882115,8.952750553,8.786424191,8.874253634,8.509092784,8.909345268,9.185273345,8.884336161,8.889587301,8.420613015,8.994970058,8.998970666,8.801990206,8.727952521
"ABCF2",6.013862254,5.781912379,5.561364505,5.992279348,5.975336018,5.743440792,5.457756936,5.936395134,5.502338501,5.554577473,5.865241899,5.709411034,5.626046033,5.725761986,5.626078077,5.524295555
"ABCF3",6.365991301,5.315879272,6.559958495,5.705500315,5.909415337,6.028223957,5.538852686,5.387220384,6.001657731,5.613736117,5.560685748,5.597281678,5.720401256,5.417561426,5.231551748,5.793422098
"ABCG1",5.536232668,5.211405555,5.55541331,5.388057961,5.333541541,5.236145741,5.408639508,5.44549179,5.318660623,5.376029047,5.430880959,5.630101736,5.254252654,5.534674423,5.293783366,5.374702824
"ABCG4",4.976407904,4.715383238,4.887900369,4.91584589,5.675820164,4.766054598,4.660267626,4.590305742,5.458700646,4.809873682,4.73385711,4.719600509,5.030100773,5.301078717,5.522981658,5.10299848
"ABHD1",4.966794386,5.22241132,5.325816924,4.818515194,4.965793569,4.805185624,5.220213171,4.713500511,4.695473074,4.899364839,4.930036841,5.307188411,4.911544627,5.211111073,5.406573963,4.741891507
"ABHD10",7.341618665,6.136249151,6.901099081,7.099498531,7.306308385,6.674887625,6.627555639,6.82535183,6.680780987,6.886762403,6.783943375,6.476861576,6.633130895,6.922219608,7.014227417,6.538392287
"ABHD11",5.58197088,5.198785583,5.762959247,5.472171346,5.217925153,4.986460163,4.941641915,5.160143896,4.629017651,4.857304516,5.277836854,5.540090805,5.550733911,5.136331106,5.188611906,5.583471525
"ABHD12",5.953218071,5.83280369,5.996218656,5.77637852,5.737514658,6.01230208,6.485462231,5.806083664,5.65242059,6.3062427,6.028680352,6.205738268,5.752989892,5.920164152,6.305298648,5.722845918
"ABHD12B",4.617427007,4.680344392,5.099833953,4.541093006,5.057798317,4.630641399,4.710857679,4.943600171,4.676243439,4.645995932,4.729458859,4.916628985,4.615723429,4.444414256,4.76483495,4.984782242
"ABHD13",4.710983196,4.95533789,4.848735634,5.119645928,5.276594882,4.991994808,4.864786506,4.971180333,4.992617889,5.040512022,4.770902136,5.075520789,5.090880528,4.769546411,4.792409199,4.656108554
"ABHD14A",7.614435405,7.521202008,7.829290221,7.654057729,7.575145852,7.694633364,7.192921041,8.421385457,8.10226603,7.954606373,7.883076524,7.503053466,7.701307541,8.160007558,8.0396976,7.478567107
"ABHD14B",6.986620219,6.251656598,6.601856041,6.354773099,6.67018468,6.928845097,6.643004823,7.138979503,7.040338011,6.157313736,6.64330217,6.327314756,7.05847808,7.147518318,7.115496439,6.636203063
"ABHD15",7.634846161,8.003369484,7.654057729,7.861772987,7.715417144,7.825538143,7.963024917,7.911078025,7.840611076,7.886081322,7.78325969,7.570781193,7.341958174,7.802988927,7.637407602,7.914932757
"ABHD2",5.938842914,5.965945995,6.146269407,5.790798757,5.840388642,5.927878062,6.434303261,5.460213987,5.907433246,5.728906311,5.777877565,6.492259591,5.626179755,5.353719179,5.914349451,6.160205629
"ABHD3",8.171550389,8.491345974,8.443383403,8.57195919,8.281749835,8.176670622,7.986861613,7.875426327,7.976488043,7.518012757,8.604783083,8.512104126,8.356869446,7.927104659,8.186621631,8.941951524
"ABHD4",5.396686143,5.462923313,5.285837147,5.50911557,5.643016938,5.009563982,5.811809252,4.936228165,5.106155387,5.020517294,4.851245106,4.882877773,4.93288704,5.206232873,6.072773647,5.396130905
"ABHD5",8.150961849,8.603022084,7.403739754,8.478367482,8.254846551,7.931680324,8.580113039,6.681739587,7.233015961,7.777617073,8.321238342,8.666801355,7.061166521,6.09018574,8.343751186,8.052527737
"ABHD6",6.139983234,6.460544179,7.355683537,6.201056621,7.002593591,6.257235173,6.327029232,7.102887047,6.817923231,6.879591688,6.088129089,6.526014733,6.189092916,6.164565887,6.351085101,6.993292361
"ABHD7",5.126718122,5.740636469,5.296229183,5.272308294,5.068491168,4.750088606,4.901354159,5.897606209,5.07512051,5.062545514,4.811480295,5.009628783,5.127667917,4.913643196,4.652757771,5.762997225
"ABHD8",7.583184979,8.04201752,7.980680552,7.28726891,7.376642371,7.951188154,7.878892634,7.549192441,7.436091694,7.679538909,7.374842466,7.585369154,7.759023415,7.552446028,7.886822838,7.342646372
"ABHD9",5.662324916,5.212243857,4.596181595,4.640325326,4.8233503,4.423839944,4.944053518,4.461286225,5.583592041,4.493262892,4.945798391,4.773111453,4.628063644,4.462291487,4.914028737,4.715963756
"ABI1",6.853968748,6.814827544,7.155836553,7.128083841,7.007605563,6.850850806,6.853453066,7.06036533,6.711384217,6.993009039,6.832809288,6.872263508,6.909281245,7.064087242,6.847266457,6.937615108
"ABI2",5.733525363,5.644969615,5.919115353,6.192751973,5.914421969,6.037788344,6.339437276,5.902653183,5.739283026,5.978484224,5.823062136,5.869581393,5.783854552,5.65949609,5.831932374,5.154805069
"ABI3",8.919757685,8.389822941,9.12359009,8.975411278,8.293048623,8.260050775,8.142692219,9.148841839,7.869713267,8.842427736,7.760508793,8.383990206,8.316286718,6.958343812,7.831160342,8.590465715
"ABL1",6.433017146,6.608733694,6.128603594,6.148610319,5.801184544,6.45786613,6.521976963,5.993702733,6.785061825,6.606895903,6.422096999,6.475040216,6.378524559,6.705969819,6.274568375,6.351487886
"ABLIM1",7.398410414,7.096784975,7.488922632,7.827263306,7.7304203,7.551293995,6.918406104,7.653896431,7.707622249,7.258703226,7.563037008,7.274345634,7.956374353,8.32903469,7.542897103,7.530717958
"ABLIM2",4.824779984,4.559267095,4.574988262,4.835084102,5.667070481,4.331804425,5.142557768,4.601442692,4.581422652,4.69196169,4.569967765,4.696547674,4.76097352,5.265220779,4.406426289,4.487967682
"ABLIM3",5.003770346,4.86316709,4.641175436,5.069613804,5.367471308,5.451272906,5.202995566,4.515705609,4.569738662,5.270467042,5.260334038,4.724395671,4.572567531,5.008172546,4.843449456,5.186820981
"ABP1",5.079283222,4.465582681,5.196525295,4.373584997,4.485217826,4.488679915,4.887193433,4.496624,4.487155241,5.012316129,4.457698718,4.472832048,4.826385475,4.474886886,4.629100107,4.537643498
"ABR",8.116694579,8.040410445,8.196709529,8.160474033,8.172415063,7.743287936,8.210697926,7.86034184,7.977091505,7.659542675,7.92424014,8.126067494,8.039145039,7.758046004,7.656281226,8.36126994
"ABT1",5.802204596,5.922327437,5.498959184,5.904920515,6.003374123,5.850177486,5.641855935,6.403904909,6.206788744,6.052403819,6.218005974,5.903024709,5.906100725,5.903494549,4.977676133,5.823838873
"ABTB1",9.066556255,9.151751013,8.703538284,9.273673635,9.31392103,8.980085536,9.760909467,8.505171188,8.671566273,9.032412503,9.004563514,10.13173381,8.596035903,8.487235222,9.465738013,9.302358408
"ABTB2",5.339591422,4.696878367,4.634194982,4.63659255,4.452613514,4.989884208,5.271388189,4.620557668,4.585240238,4.718250876,4.567328923,4.531029035,4.601233403,4.465074951,4.524322793,4.937026245
"ACAA1",9.542216013,9.232919823,9.65771974,8.988457177,9.044376029,9.273265377,9.276938932,8.985572652,9.240751482,9.274822021,9.073084882,9.153894975,9.317312101,9.137647521,9.35863451,9.149361113
"ACAA2",8.721543786,8.747481459,9.028185666,8.513789499,8.367095984,8.346198031,8.449326348,8.795801767,8.742080127,8.752395567,8.416031862,8.219594517,8.800305425,8.512104126,8.434688581,8.251642996
"ACACA",6.7896319,6.813423278,6.579276673,6.887147468,7.142696053,6.982249639,6.472783786,7.224262454,6.655077751,7.195627784,7.113576581,6.483635275,6.896649812,6.779536299,6.999773005,6.893712997
"ACACB",6.471506999,6.364556309,5.804872891,6.886435397,7.225288871,6.595329121,6.597485158,6.782639628,7.016204742,6.982999375,6.947357796,6.795407718,7.144099201,6.391972733,7.132449595,6.699269827
"ACAD10",7.213418263,7.112056058,7.01555275,7.520152702,7.195005852,7.475301234,7.297146977,7.297497087,7.374160233,7.320354145,7.34648491,7.316135098,7.609109943,7.356394065,7.563041252,7.121212358
"ACAD11",7.828147732,7.863660305,7.888708295,8.168733823,7.940822794,8.190597579,7.212378909,8.516314411,7.830037777,7.927485658,8.444667506,8.196553392,8.500228135,8.453957639,8.173911633,8.208452791
"ACAD8",6.829080896,6.554188716,6.827693978,6.916414185,6.896231255,6.478344556,6.587986488,6.942268506,6.526322352,6.719581487,6.572102251,6.660006982,6.704068236,6.55718149,6.690269035,6.795756844
"ACAD9",7.790394796,7.695380289,8.094434778,7.608353426,7.442542288,8.054081876,7.874273655,7.653300184,8.079603251,7.298569359,7.736624965,7.669172348,7.591868412,7.64815833,7.606166567,7.652220574
"ACADM",8.33831333,8.419284825,8.938792925,8.878380202,8.844522862,8.411349707,8.322099309,8.398284988,8.452664359,8.255604442,8.740664603,8.653025466,8.626155042,8.579380018,8.691625176,8.780990936
"ACADS",5.477374989,5.104931144,5.260450093,5.129453042,5.032849158,5.504294297,5.967184178,5.324279897,5.091260529,5.238080745,4.997514784,5.33069084,5.130828543,5.032712849,5.271615398,4.649157227
"ACADSB",5.057495359,5.118501314,5.27426849,5.386650152,5.045379148,5.572086137,5.013016617,4.868283657,4.80739233,5.174872769,5.572628622,4.809545358,5.30731243,5.110233952,5.232722695,4.755370813
"ACADVL",8.582209123,8.777888854,9.162699917,8.503360095,8.45001427,8.772154261,8.195415655,8.629840944,8.819931573,8.903057978,8.654802989,8.742800702,8.822267464,8.81255733,8.620515214,8.336507273
"ACAP1",9.150889514,8.963913342,9.529501133,9.2997294,8.939595805,9.55814058,8.699199258,9.734481558,9.508051999,9.789413591,9.528310949,8.861961195,9.605543219,9.504557657,9.774911647,9.261234502
"ACAP2",8.306905806,8.527367739,8.132989468,8.150155958,8.152106879,7.936232522,8.398552552,7.69613337,7.971867078,7.805193385,7.880048876,8.179081689,8.247216256,8.187810049,8.192213311,7.925255439
"ACAT1",8.793499302,9.133107708,9.47226603,8.752830485,9.336051263,9.23033462,9.014427406,9.00334154,9.181860909,8.77451665,8.922991611,9.276938932,9.210576449,9.459826748,9.203435597,9.247048765
"ACAT2",8.315875925,8.068228816,8.101884064,7.848192247,8.167178039,8.076832308,7.860657067,8.373212751,8.290631755,8.052141472,8.038536822,8.19139944,8.391508734,8.428409289,8.154890861,8.178286627
"ACBD3",8.326554432,8.300779124,8.425927303,8.787558183,8.844294026,8.470803556,8.681864074,8.600840157,8.430118021,8.293454188,8.646971741,8.4400691,8.44381497,8.548676908,8.450175636,8.769965051
"ACBD4",5.097494005,5.416065763,5.522312535,5.403534026,5.359628628,5.700397154,5.524189998,5.478504819,4.736328682,5.577121611,5.417263614,5.282063567,5.503957846,5.357227454,5.440694062,5.195743668
"ACBD5",4.987500859,5.545415826,5.033275825,4.63341016,5.02725649,4.843264374,5.107780876,4.810625945,5.200051601,4.8175531,4.869297149,4.671357881,4.854410218,4.562018691,4.893686499,5.05758351
"ACBD6",7.189297437,6.759557394,6.270942878,6.56356911,6.234409986,7.151634922,7.170214688,6.844447321,7.076059176,7.08359044,6.756715567,6.839593166,7.2277854,7.084254735,7.345776087,6.208689998
"ACCN2",4.550383999,4.812177919,4.452567447,4.591810504,4.829801256,4.620557668,4.481174072,5.080809204,4.686581863,4.56951491,4.554236864,4.49588733,4.526549198,4.658723535,4.67639891,4.521366645
"ACCN3",4.672364771,5.635442843,4.493335431,4.901261519,4.516417548,5.18663076,5.722886296,4.647160418,4.526158825,5.336997442,5.151692413,4.509334023,5.255949167,4.819447958,5.032914951,4.592940696
"ACCS",8.606539272,7.762783516,7.58610844,7.901193109,8.189399207,8.715205281,8.204068652,7.9883882,9.141263982,9.572161322,8.239070607,7.413864743,8.57195919,8.177884467,8.420541096,8.152516769
"ACD",7.790025336,7.400165101,7.706926554,7.900052339,7.711753504,7.781372816,7.253269844,8.540957368,7.402304517,7.945436966,7.769512555,7.670299983,7.236493127,7.64000315,7.686885986,7.551333542
"ACER2",6.120138727,6.618301471,6.658565839,6.480443038,6.614931944,7.126989818,7.404092548,6.436067618,6.172055832,7.553184766,6.436067618,6.313683322,6.360281439,6.602485604,7.131092689,6.512161066
"ACER3",5.656824406,6.369164641,5.120268908,5.831553524,5.334287076,5.979524751,5.895495829,5.042823812,5.845183102,5.951273677,5.784928408,5.861661784,6.016600333,5.758267836,5.975319073,5.090872159
"ACHE",5.064452589,4.729033067,4.669068081,4.849473168,4.615847332,4.474366082,5.092123341,5.594155174,4.529572108,5.120431248,4.561648102,4.469902625,4.610774066,4.630710595,4.740926302,4.623806329
"ACIN1",8.877659855,8.994653545,9.013447364,8.886910823,8.696049115,8.759973122,8.266823183,8.991306696,9.163080677,8.993706702,8.457315208,8.33713187,8.959104165,8.784859886,9.238145754,8.765411872
"ACLY",9.263464465,9.295676246,9.503316755,9.297317303,9.152144019,9.35857055,9.222331355,9.216888925,8.947911563,9.327232726,9.027292358,9.218568068,9.199685143,9.062244392,9.069712385,9.175571883
"ACN9",7.878687351,7.875315928,8.40799413,8.328155752,7.909910552,8.211099103,7.999513091,8.028543022,8.014166664,8.339661097,8.262305149,8.048807181,8.106612461,8.203666772,8.200861678,8.017788134
"ACO1",8.190175284,8.005678429,8.1719499,8.009554899,8.136071353,7.978049976,8.060305984,8.123527836,7.241035748,7.754113202,7.886440903,7.750786652,7.607992683,7.795140637,7.568154724,7.916081325
"ACO2",8.048298417,7.99029869,8.310185719,7.906479279,7.435735466,7.679912952,7.631564413,7.778778144,7.741458819,7.971471115,7.650028203,8.0920738,7.984521373,7.957269743,8.056755214,7.825896977
"ACOT1",6.080285022,5.736661745,5.851065114,5.205316273,5.585045401,5.847438228,4.989738326,5.895027335,6.190450848,5.627986997,6.373793912,5.437761355,5.885131471,5.745281491,5.857498204,5.767541732
"ACOT11",5.172334983,4.578299049,4.589588444,4.497313027,4.567471787,4.638894804,4.603640294,4.375603888,4.439807884,4.367959865,4.649805072,4.528786048,4.674022479,4.592922915,4.538589207,4.545090304
"ACOT2",5.62138734,5.301817566,5.762997225,5.381206692,5.302661264,4.976464504,5.848786478,5.706546353,5.798922871,5.371544678,5.566173765,5.503475503,5.621481956,5.545381573,5.112280871,5.221669709
"ACOT4",5.685837295,5.838119613,6.724640412,6.022404194,5.395143975,5.092593785,6.058343492,6.156232358,5.466387526,4.812492297,6.566357315,5.44008908,6.256125886,5.614299193,5.307557859,5.306697672
"ACOT7",6.627678171,6.361868953,6.866487279,6.110456073,6.351989989,6.201589418,5.835782912,6.262922961,5.993508609,5.948803238,6.264263722,5.961618665,6.323303854,6.250396836,6.268341029,6.298786615
"ACOT8",6.107506276,6.613066876,6.469137797,5.931258548,6.516093097,6.565437782,6.653873683,6.397242077,6.872706083,6.892615348,5.750374841,5.773844708,6.08131496,6.0463119,6.929162686,5.86813818
"ACOT9",8.172808858,8.375874716,7.850556818,8.003368086,7.620502146,8.098718665,8.402686206,7.609410066,8.333924299,8.407280458,7.896626219,7.887445402,7.926574037,7.619935331,8.099030838,8.164752324
"ACOX1",7.067237732,7.363185767,7.215153379,7.347919402,7.470970761,6.417329368,7.63963523,6.353638441,6.202445173,6.541152474,7.430354466,7.790756341,6.644547792,5.896196148,7.305958532,7.132795204
"ACOX2",6.262249623,5.524359368,5.452365648,5.704271325,5.383021567,5.458078278,5.965453767,4.923880352,4.932738483,5.458228425,5.717085523,5.769498309,5.310524267,4.963093735,5.483000847,4.570453722
"ACOX3",7.262714331,6.933430238,6.64361498,6.613680625,6.858128373,7.065219535,6.888059474,6.742737473,6.270663123,6.067844696,6.399257436,6.881538084,6.628811816,6.744672463,6.415848188,6.780385844
"ACP1",10.29462512,10.03260941,10.32827648,9.947860519,10.13511254,10.05864366,10.1689369,10.359007,10.32630197,9.874138935,10.1489301,9.83659514,10.35827696,10.57820338,10.09117134,10.24914205
"ACP2",7.946213015,6.849660846,7.15577476,7.101542995,6.704580831,7.715800792,7.528836897,7.199857521,6.235828072,6.813379034,7.296807221,6.85683561,7.053121187,6.159767897,6.97168658,6.899809849
"ACP5",5.050067739,5.700200048,6.598119911,4.994031463,6.54477918,6.561750937,6.397534313,5.18663076,4.844848391,5.544517009,6.351641475,6.969675325,5.989145615,6.090713086,5.54108789,5.719595004
"ACP6",5.353247592,4.790129444,5.464184145,5.594725739,5.810896354,6.078722849,5.680050509,6.168281639,5.8598341,6.135728332,4.995186107,6.272091523,6.178207978,6.033827944,6.041689641,5.528588519
"ACPL2",6.244890592,6.152519889,6.545417854,6.492886093,6.501237093,6.329755295,6.358250528,6.725905546,6.195236641,5.861900056,5.842103658,6.065404417,6.147110412,5.894353419,6.032002105,5.792317253
"ACPP",7.841726144,8.014637046,6.805672055,7.241035748,6.569667876,7.960010315,8.107827995,6.932456958,6.846407527,7.708782534,7.628986091,7.423237048,7.095737115,6.807606183,7.830407822,7.825538143
"ACPT",5.118417355,5.092251126,5.075195679,4.857571965,4.894690471,4.858463457,4.609167722,4.933371614,5.445465915,4.929586554,4.708295178,5.015040229,5.35169178,4.969601212,5.448386362,5.651663872
