"","GSM2577895","GSM2577932","GSM2577976","GSM2577988","GSM2578061","GSM2578072","GSM2578181","GSM2578228","GSM2578242","GSM2578442","GSM2578450","GSM2578593","GSM2578614","GSM2578635","GSM2578710","GSM2578752"
"LOC402677",8.731772,8.577116,8.375244,9.405056,8.430544,8.674345,8.801199,9.213186,8.594332,9.129078,8.973933,8.743887,8.880444,8.872115,9.090393,8.502808
"LOC402693",4.529068,4.679633,4.758914,5.062836,4.661228,4.737812,5.20684,4.674529,5.029113,4.590712,4.650455,4.886534,4.889502,4.765539,4.677037,4.763784
"LOC402694",13.17624,12.97821,13.34969,13.0013,13.20293,12.97821,13.50287,13.02002,13.33791,13.19126,12.92247,12.9554,13.46993,13.37676,13.17624,12.9554
"LOC407835",8.144268,8.160426,7.623482,7.946976,7.312289,8.186233,8.028142,8.168346,7.86781,8.328987,8.00996,7.563397,7.732918,7.589724,8.278558,7.771355
"LOC415056",4.577194,4.585536,4.715913,4.762979,4.665012,4.988104,5.083629,4.493626,4.546934,4.705924,4.546888,4.522086,4.515706,4.927565,4.496995,4.309336
"LOC439914",4.922342,4.675562,4.468103,5.080809,4.474519,4.672689,4.842091,4.675211,4.769231,5.134189,4.5522,4.85578,4.730361,4.617995,4.4837,5.202792
"LOC439949",9.781472,9.589407,9.744604,10.49465,10.51877,9.586379,9.720957,11.00019,9.823202,10.59925,10.36961,8.927179,10.19963,10.17518,9.655857,9.982225
"LOC439950",5.135127,5.226212,5.335973,5.810464,5.767332,4.780048,5.853603,4.917803,5.664293,5.056554,5.322509,5.205523,4.9771,5.823165,4.694373,5.208666
"LOC439953",11.88641,11.97858,11.94435,11.98583,11.87961,11.84645,11.88015,12.09061,11.92841,12.06747,11.7673,11.65447,11.70509,11.83225,12.00479,11.98072
"LOC439992",8.794422,8.329395,8.07565,9.408338,8.602153,8.771335,8.657136,9.379942,8.103864,9.498893,9.018801,8.755972,8.907947,9.33122,9.140231,8.460247
"LOC439994",4.641599,4.80542,4.561071,5.050568,4.713849,5.543823,5.319626,4.65791,4.81298,4.518634,5.552724,4.840708,4.714076,4.882704,4.898032,4.905711
"LOC440014",4.504666,4.866527,4.61953,4.497947,5.288678,4.680514,4.536972,4.547958,5.272422,4.501968,4.741036,4.42363,4.521307,4.756467,4.425456,4.673043
"LOC440015",4.671062,4.713811,4.999988,4.547348,4.570983,4.594912,5.310273,4.960448,4.914458,5.27196,4.701108,4.515299,4.673412,4.471066,4.576507,4.598515
"LOC440027",14.3982,14.49907,14.31749,14.39556,14.3205,14.45543,14.25386,14.44761,14.34649,14.41395,14.41142,14.51363,14.34364,14.14086,14.3205,14.40865
"LOC440043",11.99539,12.34702,12.14548,11.99983,11.82916,12.03863,12.1092,11.84563,11.84778,11.83537,11.77404,11.95083,12.10687,11.72465,11.80454,11.74585
"LOC440055",13.36911,12.84155,13.21806,13.00503,13.17996,13.42487,13.25591,13.49445,13.60855,13.67269,12.98997,12.6951,13.57481,13.67269,13.59145,12.7983
"LOC440063",9.955947,11.34422,10.26922,11.37505,10.54512,10.66167,10.89737,10.51192,10.58504,11.32754,10.46802,10.26002,10.28538,10.11012,10.99152,10.88326
"LOC440092",4.74755,4.584173,4.865861,4.527637,4.896338,4.74376,4.562906,4.684615,5.220213,4.402834,5.084005,4.97739,4.868784,4.880856,4.440324,4.67339
"LOC440093",9.441502,9.833534,9.141465,9.192397,8.70684,9.226767,9.824433,8.954894,9.112448,9.290644,9.297898,9.805082,9.610792,9.483629,9.525154,9.362146
"LOC440122",5.225161,5.216876,4.881145,4.854228,4.670224,4.797716,4.510086,4.642875,5.144297,5.429591,4.920859,5.059018,4.759383,4.997016,4.94143,5.554669
"LOC440131",4.699125,4.540805,4.893747,4.861817,4.548274,5.071087,5.422581,5.005776,4.591226,4.429596,5.074592,5.715241,4.463166,5.272537,5.143688,4.588361
"LOC440145",5.535437,5.761841,5.20353,6.095134,5.874881,5.789402,5.706829,5.889479,5.357502,6.287527,6.063571,5.746929,6.277478,5.996507,5.901136,5.687277
"LOC440157",6.975696,7.992613,7.597366,7.381937,7.226733,7.356036,6.965339,7.588637,7.810104,7.29119,8.077616,8.332279,7.768776,7.801865,7.628257,7.539346
"LOC440160",5.25561,5.885131,4.677225,5.25294,5.386094,4.742519,5.348627,5.059884,6.098318,5.979525,5.336744,4.804199,4.723431,4.719319,4.492569,4.506436
"LOC440226",5.662923,4.876782,5.048885,4.987151,4.93304,5.006819,5.166265,4.965173,5.186343,4.679456,5.206233,5.293455,5.38665,5.217092,5.120929,5.3631
"LOC440258",5.261576,5.308296,5.32788,5.631427,5.636022,4.970738,5.037204,5.615439,4.518059,5.161894,5.852682,5.46277,5.501648,5.857028,4.684928,5.807821
"LOC440280",8.453099,8.31345,8.24232,8.922045,8.431786,8.288172,8.236664,8.548677,8.183068,8.134895,8.448059,8.424264,8.791239,8.792599,8.172734,8.690709
"LOC440311",7.736913,6.920389,7.190061,7.284346,7.030526,7.325057,7.047472,7.696422,7.11966,7.381508,7.207905,7.306699,7.529073,7.516066,7.698583,6.993995
"LOC440313",5.705663,5.86292,4.828623,5.490185,5.733919,5.488805,5.080493,5.009326,6.299896,4.971559,4.658759,4.723079,5.140393,4.951152,6.0228,5.088438
"LOC440330",5.508265,5.349965,4.885696,5.162644,4.739285,4.633411,5.304374,4.998996,5.20724,5.770361,5.500965,4.845783,5.225476,5.472085,5.316627,4.971421
"LOC440337",4.721914,5.419614,5.061672,4.694585,4.645447,4.552772,4.750712,5.223151,4.924591,5.07664,5.03755,4.803692,4.966963,4.582429,5.117163,4.800932
"LOC440341",9.097457,9.100018,9.196746,9.265895,9.007212,9.401722,8.983144,9.777537,9.732573,9.817834,8.576709,8.789858,9.060267,9.213186,9.337124,9.489785
"LOC440345",5.882637,6.036323,5.707645,6.015707,5.662391,5.982014,5.449211,5.710571,6.067999,5.917098,6.334743,6.442335,6.331719,6.269274,5.561627,6.019158
"LOC440348",8.438407,8.929558,9.257046,9.06668,9.025222,9.058309,8.692031,9.032648,9.94584,9.549884,9.080872,8.926215,8.843828,9.226665,9.132618,9.606092
"LOC440349",4.860983,5.772397,4.923768,5.443199,5.37644,4.94856,5.200002,5.070368,5.336788,5.082211,5.625953,5.696228,5.554842,5.109964,5.132164,5.509159
"LOC440350",4.510878,4.843334,4.770071,5.066206,5.790592,4.772015,4.538936,4.595873,4.668887,5.642436,4.445365,4.622847,4.778218,4.928769,4.482516,4.789714
"LOC440352",5.210089,4.784363,4.942582,4.581762,5.119262,5.22115,4.867274,5.470361,4.659183,4.603162,4.763173,5.085321,4.800596,4.719652,5.385679,4.792343
"LOC440353",11.39359,11.49969,11.84998,11.89451,11.43792,11.86896,11.0903,12.13339,12.30966,11.91594,11.72076,11.51462,11.6404,11.98406,11.82916,11.92906
"LOC440354",6.774138,7.217868,6.269713,7.528743,7.098594,6.921157,6.99546,6.485837,6.864979,6.768739,7.07038,7.083559,7.071455,7.056156,7.108175,7.494773
