symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PLBD1	0.004583155166724989	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037694711180374804	No data	No data	0	0	0	0	0	0	No data	0.41394040425088563	No data	0	No data	No data	0	0.5	0
LINC01926	0.004582189559635376	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037686769428670434	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
VIT	0.0045793500569005175	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.029067502864625686	No data	No data	0	1	0	0	0	0	No data	0.6742029589497811	-0.2716150181121571	0	No data	No data	0	0.5	0
NDST4	0.004571349719114343	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03759761585589851	No data	No data	0	0	0	0	0	0.7935800000000001	No data	-0.3330902271306522	0	0	No data	No data	-0.5412849999999999	No data	No data
PLOD2	0.00457057898443282	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.028778947900733206	No data	No data	0	0	0	1	0	0.5316600000000001	No data	-0.3353823713273598	-0.8839575703720165	0	No data	No data	0	-1	0
MFSD4A	0.0045692377312618665	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03758024555766083	No data	No data	0	0	0	0	0	0.27043000000000034	No data	-0.25849135236507603	No data	0	No data	No data	0	0.75	0
TMEM71	0.004567492862595718	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03756589467534822	No data	No data	0	0	0	0	0	0	No data	0.5750156282558867	No data	0	No data	No data	No data	0.5	0
TRIQK	0.004567174924778094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037563279757508276	No data	No data	0	0	0	0	0	0.41860500000000017	No data	0.797457803709106	No data	0	No data	No data	No data	-1	-1
EPS8L1	0.004566680965827265	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03755921713267689	No data	No data	0	0	0	0	0	0.2876899999999999	No data	0.14784330068764318	0	0	No data	No data	0	0.5	0
TAF8	0.004565953782488	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037553236325797865	No data	No data	No data	0	0	0	0	0	0.7258049999999997	No data	0.6648260054177955	-0.6972640415923922	-1	No data	No data	No data	-1	-1
ENSG00000256654	0.004563617713781337	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037534023047610277	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PPP1R13L	0.004558334065967427	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0374905670503597	No data	No data	0	0	0	0	0	0.4021749999999997	No data	-0.512085851219004	-0.9654403205734576	0	No data	No data	No data	0.5	0
SAMMSON	0.00455443388015262	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037458489502798946	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CEP170	0.004552895940232864	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037445840530861696	No data	No data	0	0	0	0	0	0.4570700000000002	No data	-0.8960200041675349	No data	0	No data	No data	0	0.75	-1
SQOR	0.004551536569489095	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.028152481368077298	No data	No data	0	0	1	1	0	0.34444500000000033	No data	0.327672431756616	-0.022060910089015118	0	No data	No data	No data	0.5	-1
B3GALT1	0.004551092603268977	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037431008768998575	No data	No data	0	0	0	0	0	1	No data	0.005938737236924396	-0.15555833574473904	0	No data	No data	0	0.5	0.5
NUAK1	0.004551050953490882	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	0.01597788938699025	No data	No data	0	0	1	1	0	0.5537050000000001	1	-0.5022921441967076	-0.15946918669427324	0	-1	No data	0	-1	0
KANK4	0.004548032869619677	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037405843621408405	No data	No data	0	0	0	0	0	0	No data	-0.1354448843509064	No data	0	No data	No data	0	0.5	0
HYCC2	0.0045453596634162825	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03738385751530968	No data	No data	0	0	0	0	0	0.7696249999999999	No data	-0.5429256095019797	No data	0	No data	No data	0	-1	-1
CCDC13	0.004536710048192665	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037312717714056	No data	No data	0	0	0	0	0	0	No data	-0.22931860804334236	No data	0	No data	No data	No data	0.5	0.5
ACTN2	0.004532161482066188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.02751507041607333	No data	No data	0	0	0	0	0	0.96085	No data	-0.8401750364659304	-0.8993730806449873	0	No data	No data	-0.4910525	0.75	0
OSR2	0.00453073312675917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03726355980449642	No data	No data	1	0	0	0	0	0.9038449999999998	No data	-0.145446968118358	-0.6768549154399752	0	No data	No data	0	0.5	0
ST8SIA6	0.004530069672505955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.027446253058293454	No data	No data	0	0	0	0	0	0.13316500000000034	No data	0.6598249635340696	0	0	No data	No data	0	0.5	0.5
ZNF219	0.004518875541136098	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03716603566466293	No data	No data	0	0	0	0	0	0.4390599999999999	No data	-0.9619712440091686	-0.101334915822818	0	No data	No data	0	-1	-1
COL5A3	0.0045167527467565105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.027008146425046273	No data	1	1	1	0	0	0	0.13180499999999995	No data	-0.3699729110231298	-0.300999714542739	0	No data	No data	0	-1	0
KLF12	0.004514243354877564	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03712793769136784	No data	No data	0	0	0	0	0	0.8507449999999999	No data	-0.7741196082517191	-0.05905544609812324	0	No data	No data	0	-1	0
