symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ENSG00000284934	0.00272346033331565	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.022399427237568107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1
MYBL2	0.002722555621700472	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.022391986328021064	No data	No data	0	0	0	0	0	0.26428500000000027	No data	-0.577411960825172	No data	0	No data	No data	0	0.75	0
TRDV2	0.002703493353707022	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.022235206411060613	No data	No data	1	0	0	0	0	No data	No data	No data	No data	No data	No data	No data	0	0.5	0.5
IGHV3-38	0.0027032456294107036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02223316897277577	No data	No data	1	1	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	-0.698275	0.5	0.5
ENSG00000235151	0.0027025216381948735	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.022227214419900054	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MIXL1	0.0027013114834021344	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.022217261356183814	No data	No data	0	0	0	0	0	0	No data	0.6534694728068347	No data	0	No data	No data	0	0.5	0.5
TWIST1	0.0026781989482875046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.022027169529898385	No data	No data	0	0	0	0	0	0.826735	No data	0.18087101479474899	-0.8767338549213102	0	No data	No data	-0.12128750000000003	0.5	0
PRSS35	0.0026781989482875046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.022027169529898385	No data	No data	0	1	0	0	0	0	No data	0.7246301312773495	-0.7344469253474464	0	No data	No data	0	0.5	0
FOLR3	0.002670888898640128	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021967047146922433	No data	No data	0	1	0	0	0	No data	No data	0.2294227964159199	No data	No data	No data	No data	-0.5102049999999998	1	0.5
CLDN18	0.0026571424827395917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02185398809518051	No data	0.75	0	0	0	0	0	0.4444450000000003	No data	0.4239424880183371	-0.30437082834270324	0	No data	No data	0	0.75	0.5
CNTN4	0.0026560139928313497	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021844706694133912	No data	No data	1	1	0	0	0	0.756335	No data	-0.47301521150239634	No data	0	No data	No data	-0.11306000000000012	0.5	0
GRB10	0.0026530229428027613	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021820106443247306	No data	No data	0	0	0	0	1	0	No data	-0.7095228172535946	-0.8405574670479615	0	No data	No data	0	-1	-1
IGKV1OR2-108	0.002644189407037385	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021747453965365933	No data	No data	No data	No data	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	-0.74359	0.5	0
ENSG00000206249	0.0026358890700536645	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021679186845026496	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000279077	0.0026081331548048585	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02145090498006875	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
