symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DENND5A	0.0023296938706591523	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0191608475817628	No data	No data	0	0	0	0	0	0.8873350000000002	No data	-0.6578453844550949	No data	0	No data	No data	-0.28321749999999996	-1	-1
NRXN3	0.0023277922934648613	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01914520783130303	No data	No data	0	0	0	0	0	0.9076999999999998	No data	-0.9718691394040425	No data	0	No data	No data	-0.1629525000000001	0.5	0
GLUL	0.002324017926905889	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019114165099352286	No data	No data	1	0	0	1	1	0.7319049999999997	No data	-0.9057095228172536	-0.5716940165100484	0	No data	No data	0	0.5	-1
LINC02182	0.0023205426814070632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019085582524555292	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000285492	0.002319898038476605	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01908028058120096	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TRIM5	0.0023191247360095767	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019073920462005928	No data	No data	0	0	0	0	0	0	No data	0.1297145238591373	0	0	No data	No data	0	-1	-1
CAPN6	0.0023189872535150273	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01907278972068562	No data	No data	0	0	0	0	0	0.7581899999999997	No data	-0.6345071889977079	0	0	No data	No data	0	0.75	0
ENSG00000235321	0.0023186098307560804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019069685561787685	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SUSD5	0.0023181331205926123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019065764801683566	No data	No data	0	0	0	0	0	0	No data	0.5105230256303397	No data	0	No data	No data	No data	-1	0
THAP5	0.0023171739234534644	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019057875769388145	No data	No data	0	0	0	0	0	No data	No data	0.2585955407376537	No data	0	No data	No data	No data	-1	-1
KCNN3	0.002314497814321963	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019035865787807884	No data	No data	1	0	1	1	0	0.7948000000000001	No data	-0.7295269847884975	-0.536073563266993	0	-1	No data	-0.15184749999999986	0.5	0
GOLGA6A	0.002310394938250699	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019002121189842267	No data	No data	0	0	0	0	0	0	No data	0.6179412377578661	No data	No data	No data	No data	-0.9747475000000001	1	0.5
MIR30C2	0.002308077818509122	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01898306375969824	No data	No data	No data	No data	No data	No data	No data	0.7916649999999997	No data	No data	No data	No data	No data	No data	-0.444445	No data	No data
KLRK1-AS1	0.00230664438384408	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018971274303803968	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KIF26B-AS1	0.002304067322886325	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01895007895584759	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
